angDist,_RAJ2000,_DEJ2000,recno,ID,Nvis,Loc,RAJ2000,DEJ2000,SNR,SaFlag,HRV,e_HRV,s_HRV,errHRV,f_Teff,Teff,e_Teff,f_logg,logg,e_logg,f_Vmicro,Vmicro,Vmacro,f_Vsini,Vsini,f_[M/H],[M/H],e_[M/H],f_[a/M],[a/M],e_[a/M],Chi2,TClass,AFlag,f_[C/Fe],[C/Fe],e_[C/Fe],f_[CI/Fe],[CI/Fe],e_[CI/Fe],f_[N/Fe],[N/Fe],e_[N/Fe],f_[O/Fe],[O/Fe],e_[O/Fe],f_[Na/Fe],[Na/Fe],e_[Na/Fe],f_[Mg/Fe],[Mg/Fe],e_[Mg/Fe],f_[Al/Fe],[Al/Fe],e_[Al/Fe],f_[Si/Fe],[Si/Fe],e_[Si/Fe],f_[P/Fe],[P/Fe],e_[P/Fe],f_[S/Fe],[S/Fe],e_[S/Fe],f_[K/Fe],[K/Fe],e_[K/Fe],f_[Ca/Fe],[Ca/Fe],e_[Ca/Fe],f_[Ti/Fe],[Ti/Fe],e_[Ti/Fe],f_[TiII/Fe],[TiII/Fe],e_[TiII/Fe],f_[V/Fe],[V/Fe],e_[V/Fe],f_[Cr/Fe],[Cr/Fe],e_[Cr/Fe],f_[Mn/Fe],[Mn/Fe],e_[Mn/Fe],f_[Fe/H],[Fe/H],e_[Fe/H],f_[Co/Fe],[Co/Fe],e_[Co/Fe],f_[Ni/Fe],[Ni/Fe],e_[Ni/Fe],f_[Cu/Fe],[Cu/Fe],e_[Cu/Fe],f_[Ce/Fe],[Ce/Fe],e_[Ce/Fe],Gaia,Sp,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Catalog,OriClass,3.6mag,e_3.6mag,4.5mag,e_4.5mag,5.8mag,e_5.8mag,8.0mag,e_8.0mag,24mag,e_24mag,Target,Pred,P(CI),P(CII),P(Other)
0.149419,86.77375111,0.36953389,96535,2M05470570+0022103,5,5172,86.773751,0.369534,141.363,0,27.9457,0.050632,0.226328,0.117143,512,4233.501,87.052,33554432,2.6043,0.0704,0,0.447435,5.814185,65536,,0,-1.155362,0.0134265,0,-0.424521,0.014044,5.98811,GKg_b,1152,0,-0.17372,0.021375,0,-0.19892,0.03561,257,,,0,-0.346295,0.020024,0,0.865376,0.083532,256,,,0,-0.396772,0.026879,0,-0.284208,0.01811,0,0.094687,0.094941,0,-0.330476,0.078671,0,0.41613,0.072831,0,0.459998,0.035505,512,,,0,0.012255,0.079537,0,-0.026637,0.080643,0,0.446088,0.074512,0,0.131004,0.042298,0,-1.246361,0.015321,0,-1.076828,0.069018,0,0.098532,0.031956,0,0.722697,0.075413,0,-0.450225,0.07006,3219582531045707008,Sp,86.773714,0.3695153,86.773714,0.3695153,1,Disks,8.609,0.004,8.052,0.003,7.588,0.004,6.936,0.005,,,1,1,5.77E-4,0.997848,0.001575
0.261840,86.77500694,0.53568889,96537,2M05470600+0032084,2,5172,86.775007,0.535689,224.108,0,27.015499,0.052012,0.88086,0.074299,4,,,261,,,4,0.551239,5.868525,65540,,4,,,4,,,7.3658,GKg_b,75499136,4,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,3219589226899368064,Sp,86.7749468,0.5357298,86.7749468,0.5357298,1,Disks,8.095,0.003,7.578,0.003,7.249,0.001,6.527,0.001,3.101,0.009,1,1,9.0E-6,0.999876,1.15E-4
0.330125,86.77571194,0.34234806,96540,2M05470617+0020324,5,5172,86.775712,0.342348,192.765,0,27.505699,0.034659,0.442472,0.081175,4,,,261,,,4,0.693474,3.644993,65540,,4,,,4,,,20.7062,GKg_b,75498624,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,3219207013464722432,Sp,86.7756622,0.3424251,86.7756622,0.3424251,1,Disks,9.724,0.003,9.243,0.002,8.719,0.01,7.862,0.022,4.479,0.012,1,1,7.7E-5,0.99968,2.44E-4
0.303105,86.77606694,0.41499194,96542,2M05470625+0024539,5,5172,86.776067,0.414992,152.43,0,28.2187,0.039413,1.10052,0.090867,4,,,261,,,4,0.909859,3.522777,65540,,4,,,4,,,15.7253,GKg_b,75498624,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,3219585726502211840,Sp,86.77603,0.4150676,86.77603,0.4150676,1," Other",10.059,0.002,9.99,0.002,9.811,0.005,9.759,0.007,8.786,0.112,6,2,1.8E-5,0.007768,0.992214
0.057711,86.77900194,0.013255,96546,2M05470696+0000477,5,5172,86.779002,0.013255,317.754,0,27.2202,0.010707,0.194694,0.024161,260,,,261,,,4,0.790642,4.311576,65540,,4,,,4,,,13.7594,Mg_c,8389248,269,,,269,,,2317,,,269,,,269,,,2317,,,2317,,,269,,,269,,,269,,,269,,,269,,,2317,,,269,,,2317,,,269,,,269,,,2317,,,2317,,,269,,,2317,,,269,,,3219144581821168384,Sp,86.7789927,0.0132681,86.7789927,0.0132681,1,Disks,9.818,0.001,9.582,0.001,9.219,0.003,8.17,0.003,4.878,0.014,1,1,1.1E-5,0.999917,7.2E-5
0.448228,86.77911306,0.53220611,96547,2M05470698+0031559,4,5172,86.779113,0.532206,134.35,0,26.484501,0.02868,0.680617,0.054476,512,3581.028,68.094,134217728,3.5749,0.0488,256,0.335668,1.0,0,12.72917,0,-0.374419,0.0167552,0,-0.066616,0.005403,4.57236,Md_b,640,0,-0.18314,0.005922,0,-0.242296,0.027526,0,-0.303677,0.075943,0,-0.249198,0.007251,512,,,0,-0.298739,0.018202,0,-0.543931,0.030606,0,-0.233479,0.014501,512,,,512,,,512,,,0,-0.20179,0.017289,512,,,512,,,512,,,512,,,512,,,0,-0.193179,0.018353,0,-0.453956,0.102508,0,-0.22273,0.042515,0,-0.058044,0.05211,512,,,3219589231195394944,Sp,86.7790365,0.5323043,86.7790365,0.5323043,1,Disks,10.138,0.002,9.502,0.001,9.107,0.003,8.079,0.002,4.694,0.009,1,1,2.51E-4,0.999412,3.37E-4
0.337087,86.780265,0.32561611,96551,2M05470726+0019322,1,5172,86.780265,0.325616,369.666,0,28.8729,0.037709,0.0,0.037709,4,,,261,,,4,1.064746,5.192499,65540,,4,,,4,,,19.3152,GKg_b,75499136,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,269,,,3219206154472308480,Sp,86.7801722,0.3256286,86.7801722,0.3256286,1,Disks,7.4,0.002,6.883,0.002,6.429,0.001,5.582,0.004,3.292,0.016,1,1,6.0E-6,0.999655,3.38E-4
0.003199,86.78577611,0.28684194,96562,2M05470858+0017126,1,5172,86.785776,0.286842,57.9482,0,28.7892,0.058746,0.0,0.058746,4,,,261,,,4,0.495484,4.543688,65540,,4,,,4,,,2.72797,Mg_b,8391808,269,,,2317,,,269,,,2317,,,269,,,269,,,269,,,2317,,,2317,,,2317,,,269,,,269,,,269,,,269,,,2317,,,2317,,,269,,,2317,,,2317,,,269,,,2317,,,269,,,,Sp,86.7857768,0.2868425,86.7857768,0.2868425,1,Disks,9.968,0.003,9.419,0.005,8.901,0.011,8.091,0.024,,,1,1,0.002546,0.994861,0.002593
0.175218,86.78591611,0.17234,96563,2M05470861+0010204,6,5172,86.785916,0.17234,253.002,0,8.10474,0.010348,6.83805,0.025749,512,4327.729,73.658,33554432,3.2854,0.0559,0,0.481138,3.154691,65536,,0,-0.107759,0.00826021,0,-0.077757,0.003931,24.837,GKg_c,1152,0,0.271784,0.007332,0,0.287962,0.020215,256,,,0,0.077982,0.009411,512,,,0,0.068661,0.010202,0,-0.337561,0.01655,0,0.061181,0.008709,512,,,512,,,0,-0.057695,0.01573,0,-0.048582,0.01018,0,0.011603,0.017623,512,,,512,,,0,-0.022207,0.0282,0,0.149184,0.019479,0,-0.265449,0.008832,0,0.171124,0.098312,0,0.08348,0.0171,0,0.693425,0.044246,512,,,3219155576937437824,Sp,86.7858681,0.172348,86.7858681,0.172348,1," Other",9.947,0.001,9.91,0.002,9.817,0.005,9.735,0.007,9.03,0.124,6,2,7.0E-6,0.001849,0.998145
0.278948,86.78620694,0.00389611,96565,2M05470868+0000140,1,5172,86.786207,0.003896,158.355,0,28.4177,0.017507,0.0,0.017507,4,,,261,,,4,0.82706,4.236855,65540,,4,,,4,,,16.2555,Mg_c,8390272,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,3219144410022477056,Sp,86.7861923,0.0039722,86.7861923,0.0039722,1," Other",10.281,0.002,10.196,0.002,10.115,0.006,10.071,0.011,,,6,2,0.0,1.2E-5,0.999988
0.480601,86.789875,0.71695611,96574,2M05470957+0043010,2,5172,86.789875,0.716956,157.39,4,26.7556,0.026462,0.21361,0.037553,4,,,261,,,260,0.375431,4.548821,65540,,4,,,4,,,10.7325,Mg_a,8390272,269,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,269,,,2317,,,2317,,,2317,,,2317,,,2317,,,269,,,2317,,,2317,,,269,,,2317,,,2317,,,2317,,,2317,,,3219612488442775808,Sp,86.7897979,0.7170651,86.7897979,0.7170651,1,Disks,8.809,0.004,8.323,0.004,7.866,0.002,7.201,0.001,4.677,0.019,1,1,1.0E-5,0.999786,2.03E-4
0.204315,86.79214389,0.78581389,96579,2M05471011+0047089,6,5172,86.792144,0.785814,251.047,0,26.2059,0.016239,0.203335,0.041029,4,,,261,,,260,0.332928,4.745761,65540,,4,,,4,,,10.8443,Mg_a,8389248,269,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,3219615241517223936,Sp,86.7921231,0.7858667,86.7921231,0.7858667,1,Disks,9.94,0.002,9.438,0.002,9.084,0.003,8.121,0.002,5.742,0.017,1,1,7.0E-6,0.99991,8.4E-5
0.302659,86.793395,0.31237,96582,2M05471041+0018445,3,5172,86.793395,0.31237,119.077,0,29.6569,0.058528,0.467926,0.109292,4,,,261,,,260,0.330415,5.086146,65540,,4,,,4,,,12.2659,Mg_b,75498624,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,3219206085752831872,Sp,86.7933871,0.3124537,86.7933871,0.3124537,1,Disks,9.844,0.004,9.361,0.006,8.827,0.021,8.2,0.049,,,1,1,0.001636,0.994994,0.00337
0.836238,86.79428111,0.35415611,96584,2M05471062+0021149,2,5172,86.794281,0.354156,49.0522,0,30.548201,0.06346,0.162935,0.092514,4,,,261,,,260,0.320391,12.150776,65540,,260,,,4,,,3.50582,Mg_b,75500672,4,,,4,,,261,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,260,,,4,,,4,,,4,,,260,,,260,,,4,,,4,,,4,,,260,,,4,,,261,,,,Sp,86.794225,0.3539307,86.794225,0.3539307,1,Proto,7.761,0.003,6.58,0.002,5.513,0.003,4.595,0.002,0.598,0.007,0,0,0.997347,5.0E-6,0.002648
